greeninnovation,integrity,quality,respect,teamwork,document_length,Doc_ID
19,9,15,2,3,1085,2573-12/5/2012
26,4,9,11,4,786,2573-12/8/2012
50,9,46,7,12,1051,2573-5/1/2013
49,24,50,6,12,1377,2573-12/2/2013
14,10,5,1,2,546,2573-17/5/2013
57,20,30,10,6,1486,2573-8/8/2013
68,16,37,8,7,1353,2573-17/12/2013
25,1,23,4,3,612,2573-12/2/2014
20,0,15,2,2,551,2573-15/5/2014
21,3,17,4,3,673,2573-7/8/2014
27,4,21,4,3,952,2573-17/12/2014
30,7,20,6,9,1085,2573-12/2/2015
71,9,21,10,2,1467,2573-13/5/2015
61,4,27,16,4,874,2573-14/8/2015
60,7,31,9,8,1237,2573-4/1/2016
35,11,31,7,5,917,2573-16/2/2016
50,8,32,9,10,1136,2573-12/5/2016
40,8,30,8,16,1199,2573-22/8/2016
33,20,20,8,7,1174,2573-13/1/2017
37,4,15,7,1,880,2573-28/2/2017
44,13,24,6,6,1134,2573-29/6/2017
49,11,24,8,18,1162,2573-16/8/2017
81,20,27,17,16,1741,2573-20/12/2017
54,17,33,9,6,1156,2573-13/2/2018
80,25,39,15,16,1409,2573-9/5/2018
31,11,22,11,8,1053,2573-29/8/2018
62,22,39,19,22,1478,2573-14/1/2019
39,16,22,8,8,803,2573-18/2/2019
45,10,28,10,9,891,2573-16/5/2019
80,11,35,13,7,1467,2573-30/8/2019
76,37,38,18,21,1755,2573-31/12/2019
37,13,27,12,10,1041,2573-17/2/2020
45,16,37,20,16,1207,2573-26/5/2020
65,27,46,16,16,1679,2573-14/8/2020
119,28,23,15,5,3916,2807-20/6/2008
24,12,5,5,0,585,2807-4/9/2008
21,10,3,1,1,1184,2807-4/12/2008
50,18,4,8,7,1800,2807-10/3/2009
80,14,9,8,5,2356,2807-19/6/2009
51,13,5,5,3,1754,2807-12/9/2009
24,9,5,3,1,786,2807-10/12/2009
40,7,6,0,3,1061,2807-10/3/2010
26,5,4,2,2,797,2807-18/6/2010
44,16,9,6,5,1081,2807-7/9/2010
25,3,7,4,3,1135,2807-9/12/2010
33,2,3,2,0,958,2807-8/3/2011
26,9,5,3,1,1502,2807-14/6/2011
29,12,5,3,3,1261,2807-11/9/2011
18,5,3,1,1,684,2807-4/1/2012
21,5,2,2,3,1009,2807-6/3/2012
47,3,2,4,0,1766,2807-13/6/2012
36,10,2,1,0,1216,2807-12/9/2012
66,20,5,6,3,1982,2807-11/12/2012
46,20,3,0,0,1427,2807-12/3/2013
71,14,16,2,6,2182,2807-14/6/2013
36,7,2,2,6,1440,2807-10/9/2013
53,10,14,2,4,1589,2807-10/12/2013
68,21,10,1,4,2283,2807-11/3/2014
74,12,8,2,3,2051,2807-10/6/2014
54,13,12,3,5,1903,2807-10/9/2014
16,13,1,0,4,640,2807-25/11/2014
33,16,3,2,5,1354,2807-12/12/2014
51,14,8,4,1,1841,2807-10/3/2015
57,25,14,1,2,1774,2807-10/9/2015
60,26,20,2,0,2199,2807-11/9/2015
57,24,16,4,3,1946,2807-9/12/2015
71,8,5,1,2,2203,2807-8/3/2016
58,21,6,1,1,2248,2807-8/6/2016
77,22,3,7,10,2197,2807-8/9/2016
63,23,13,13,5,2199,2807-9/12/2016
77,55,25,15,12,2228,2807-8/3/2017
67,18,16,8,10,2243,2807-8/6/2017
78,33,25,9,9,2228,2807-13/9/2017
69,34,25,7,4,2245,2807-13/12/2017
103,32,23,14,10,2211,2807-9/3/2018
95,22,23,8,12,2240,2807-18/6/2018
89,22,24,12,20,2266,2807-17/9/2018
67,17,23,2,7,2245,2807-2/1/2019
74,26,16,4,13,2169,2807-15/3/2019
70,23,27,10,9,2244,2807-18/6/2019
90,24,36,3,6,2217,2807-21/9/2019
78,19,34,10,4,2180,2807-31/12/2019
146,41,129,53,29,2367,2807-22/1/2020
76,22,26,10,12,2195,2807-31/3/2020
71,23,35,31,10,2211,2807-4/7/2020
10,6,2,6,1,439,2807-2/9/2020
100,29,50,33,19,2305,2807-13/10/2020
67,37,25,12,12,2181,2807-9/11/2020
51,50,38,32,11,2288,2807-18/11/2020
111,63,65,7,9,5199,2856-20/6/2008
35,11,35,4,3,1391,2856-29/7/2008
39,15,26,7,1,1380,2856-27/10/2008
66,37,55,8,4,2366,2856-13/2/2009
37,12,31,4,0,1511,2856-5/9/2009
26,6,8,4,0,882,2856-13/1/2010
23,10,7,4,9,939,2856-8/3/2010
28,20,38,6,7,1273,2856-29/4/2010
30,7,45,3,9,1048,2856-30/7/2010
59,30,62,17,11,2217,2856-29/10/2010
33,30,35,5,2,1583,2856-11/2/2011
21,7,15,1,3,653,2856-11/5/2011
9,1,4,1,2,358,2856-20/5/2011
12,5,6,1,2,796,2856-29/7/2011
24,5,17,0,2,810,2856-31/1/2012
47,5,14,2,3,1147,2856-21/3/2012
36,66,56,26,25,2210,2856-3/5/2012
129,22,62,5,11,3327,2982-20/6/2008
42,8,16,0,7,1279,2982-5/9/2008
786,248,466,236,169,20561,3054-20/6/2008
107,44,88,24,20,2202,3054-30/9/2008
58,13,33,19,12,2144,3054-19/5/2011
375,108,144,57,36,10316,3062-20/6/2008
86,12,46,6,2,2165,3062-16/7/2008
109,16,37,9,7,2222,3062-19/9/2008
57,36,42,8,9,1693,3062-19/12/2008
112,14,39,23,7,2163,3062-19/3/2009
100,12,50,12,3,2189,3062-18/7/2009
84,12,44,17,2,2204,3062-24/9/2009
77,39,60,22,3,1787,3062-7/1/2010
43,10,26,11,5,1378,3062-19/3/2010
51,6,28,3,4,1474,3062-21/7/2010
57,18,24,5,2,1575,3062-27/9/2010
53,16,20,3,1,1547,3062-22/12/2010
30,11,21,6,2,963,3062-23/3/2011
49,27,20,3,6,1402,3062-20/7/2011
72,14,33,5,3,1528,3062-24/9/2011
52,21,24,3,3,1250,3062-21/12/2011
79,39,31,7,1,2136,3062-21/3/2012
78,20,23,12,11,2210,3062-17/7/2012
82,31,24,8,4,2158,3062-22/9/2012
84,28,37,13,1,2203,3062-21/12/2012
64,22,26,6,4,2053,3062-20/3/2013
73,24,40,11,3,2239,3062-16/7/2013
82,23,29,3,6,1826,3062-23/9/2013
57,13,15,6,3,2175,3062-21/12/2013
62,44,33,6,19,2060,3062-20/3/2014
45,21,20,5,2,1901,3062-16/7/2014
52,27,27,4,6,1549,3062-30/9/2014
71,22,29,6,2,1414,3062-19/12/2014
55,26,27,3,5,1563,3062-29/3/2015
72,35,36,7,11,2107,3062-17/7/2015
75,20,32,10,7,2211,3062-25/9/2015
57,31,27,2,4,1971,3062-22/12/2015
87,35,59,12,13,2297,3062-23/3/2016
82,15,19,6,5,2116,3062-20/7/2016
64,16,20,9,0,2017,3062-28/9/2016
60,35,30,7,15,2212,3062-26/12/2016
60,22,35,10,9,2174,3062-23/3/2017
64,30,39,10,6,2178,3062-21/7/2017
65,21,38,9,12,2135,3062-27/9/2017
51,20,35,5,5,2200,3062-26/12/2017
54,23,11,7,12,1987,3062-23/3/2018
75,27,35,20,12,2176,3062-20/7/2018
70,19,19,6,5,1855,3062-26/9/2018
5,10,7,3,2,329,3062-10/11/2018
70,18,36,4,3,2139,3062-14/1/2019
64,36,25,12,5,2168,3062-26/3/2019
69,25,29,9,7,2122,3062-18/7/2019
55,30,15,4,6,2210,3062-26/9/2019
0,9,3,3,2,243,3062-1/11/2019
76,45,31,6,8,2064,3062-6/1/2020
45,45,41,8,8,1857,3062-23/3/2020
63,37,78,16,12,2251,3062-25/6/2020
65,29,90,23,15,2232,3062-27/8/2020
7,23,14,4,2,542,3062-28/10/2020
80,53,83,16,5,2275,3062-10/11/2020
87,46,32,20,28,3356,3071-20/6/2008
57,32,23,8,10,2191,3071-18/7/2008
77,21,37,21,9,2192,3071-17/10/2008
51,34,31,21,19,2153,3071-23/1/2009
32,11,25,7,10,1177,3071-25/4/2009
38,28,22,3,6,1589,3071-24/8/2009
25,8,11,1,3,1248,3071-20/1/2010
17,16,12,0,5,981,3071-29/1/2010
25,6,4,0,8,1135,3071-26/4/2010
22,5,9,4,2,812,3071-23/7/2010
49,23,28,0,9,1848,3071-30/10/2010
26,12,10,4,10,1005,3071-28/1/2011
22,4,8,4,4,590,3071-29/4/2011
10,7,13,8,0,813,3071-30/7/2011
21,8,12,2,3,712,3071-1/11/2011
40,13,24,2,5,981,3071-27/1/2012
39,21,26,2,1,1171,3071-27/4/2012
41,17,23,4,1,1209,3071-29/7/2012
63,33,54,38,20,2323,3071-17/9/2012
31,12,23,11,1,980,3071-29/10/2012
20,7,13,7,2,759,3071-22/1/2013
101,41,22,6,9,3352,3093-20/6/2008
70,29,27,5,4,2308,3093-18/9/2008
81,29,32,12,7,2069,3093-22/6/2009
79,15,30,7,3,2265,3093-18/9/2009
45,27,18,7,4,2131,3093-10/12/2009
33,12,18,4,1,1073,3093-20/3/2010
54,15,9,6,1,1500,3093-25/3/2010
38,12,9,1,4,1149,3093-17/6/2010
30,5,5,1,1,894,3093-16/9/2010
37,10,14,9,2,828,3093-14/1/2011
52,4,11,2,2,850,3093-17/3/2011
38,27,11,2,2,2053,3093-19/5/2011
60,5,11,1,9,699,3093-16/6/2011
42,15,17,4,3,1335,3093-17/9/2011
37,10,10,4,7,1201,3093-20/1/2012
78,14,27,6,3,1895,3093-22/3/2012
107,17,30,7,3,2217,3093-22/6/2012
79,25,36,4,8,1887,3093-20/9/2012
91,16,22,6,12,2129,3093-17/1/2013
66,11,17,3,7,1368,3093-22/3/2013
83,19,24,9,13,1874,3093-20/6/2013
67,10,19,6,5,1779,3093-20/9/2013
65,15,36,9,10,2192,3093-16/1/2014
20,16,5,1,4,1443,3093-20/3/2014
61,11,15,6,10,1467,3093-20/6/2014
31,13,12,5,3,1671,3093-18/9/2014
60,22,20,1,2,2200,3093-15/1/2015
34,7,10,6,5,1387,3093-19/3/2015
53,11,24,6,6,1716,3093-18/6/2015
35,20,12,2,2,1537,3093-1/11/2015
64,13,22,7,2,2148,3093-14/1/2016
49,15,23,6,4,1734,3093-17/3/2016
28,12,7,2,5,1437,3093-17/6/2016
67,19,31,15,11,1752,3093-16/9/2016
78,47,41,28,12,2271,3093-1/12/2016
52,39,32,34,10,1276,3218-20/6/2008
37,10,19,17,4,1288,3342-20/6/2008
51,31,16,15,7,1989,3342-21/9/2008
100,33,50,23,20,2420,3342-10/12/2009
33,6,20,20,12,933,3342-23/2/2011
31,7,17,9,2,884,3342-11/5/2011
40,19,12,41,8,1547,3342-17/8/2011
58,20,33,39,11,1713,3342-17/1/2012
25,6,7,5,3,756,3342-20/1/2012
45,12,23,24,16,2007,3342-10/3/2012
52,22,31,44,15,1807,3342-26/4/2012
43,17,23,42,17,2241,3342-24/7/2012
54,29,37,16,10,2209,3342-24/10/2012
44,27,25,29,11,2234,3342-20/2/2013
49,15,50,16,22,2203,3342-24/4/2013
48,16,35,29,18,2241,3342-24/7/2013
52,16,42,31,19,2219,3342-23/10/2013
47,39,31,33,15,2267,3342-27/2/2014
46,20,37,9,25,1821,3342-23/4/2014
44,17,40,7,22,1630,3342-22/7/2014
43,16,31,39,18,1874,3342-21/10/2014
24,2,12,4,9,831,3342-24/2/2015
46,13,32,21,7,1361,3342-29/4/2015
67,17,25,19,8,1458,3342-28/7/2015
63,13,39,11,9,1111,3342-28/10/2015
29,9,16,7,4,983,3342-23/2/2016
106,18,55,17,14,1397,3342-27/4/2016
78,17,39,29,7,1557,3342-27/7/2016
90,24,54,22,13,1738,3342-27/10/2016
87,35,67,39,16,2064,3342-21/2/2017
79,26,53,38,19,1691,3342-26/4/2017
75,20,46,25,24,1788,3342-25/7/2017
17,14,14,13,3,846,3342-25/10/2017
18,10,6,8,1,865,3342-21/2/2018
84,14,34,15,13,1473,3342-20/4/2018
13,16,10,10,9,828,3342-20/7/2018
79,50,75,26,25,1446,3342-4/8/2018
92,20,35,17,20,1494,3342-20/10/2018
29,14,15,10,5,1212,3342-20/2/2019
71,7,44,12,10,1426,3342-25/4/2019
65,4,29,13,9,1137,3342-25/7/2019
17,4,9,3,3,628,3342-3/1/2020
80,16,65,33,23,1755,3342-6/3/2020
23,11,20,7,5,885,3342-10/6/2020
55,6,23,12,20,1055,3342-12/8/2020
2,3,0,3,2,341,3342-3/11/2020
125,22,44,19,21,1956,3342-20/11/2020
183,25,30,15,5,4579,3497-20/6/2008
77,14,7,5,4,2242,3497-24/7/2008
68,7,16,7,4,2266,3497-24/10/2008
46,22,20,12,4,1728,3497-28/1/2009
55,7,17,4,6,2249,3497-25/4/2009
50,2,11,5,6,2188,3497-23/7/2009
86,7,11,5,2,2210,3497-22/10/2009
67,17,7,5,0,1435,3497-27/1/2010
47,27,11,8,5,1638,3497-23/4/2010
60,19,12,9,2,2119,3497-22/7/2010
63,25,14,10,8,2104,3497-19/1/2011
67,14,11,7,0,2289,3497-27/1/2011
179,37,55,19,15,2317,3497-2/3/2011
62,26,10,7,2,2191,3497-25/4/2011
73,21,23,3,5,1871,3497-22/7/2011
15,13,5,5,0,608,3497-3/8/2011
42,17,12,10,1,1601,3497-20/10/2011
0,1,1,1,0,127,3497-26/10/2011
47,25,6,9,3,1508,3497-25/1/2012
234,16,84,15,16,2297,3497-2/3/2012
91,26,20,8,2,2308,3497-2/5/2012
84,43,25,17,5,2366,3497-26/6/2019
150,50,93,29,18,4283,3570-20/6/2008
91,46,41,10,6,2000,3570-16/9/2008
56,23,38,8,5,2021,3570-24/11/2008
87,28,63,9,10,2303,3570-24/2/2009
81,26,55,19,9,2286,3570-27/5/2009
43,12,11,6,6,1506,3570-16/9/2009
38,14,16,3,4,1364,3570-8/12/2009
44,23,23,5,4,1722,3570-24/2/2010
69,29,37,16,9,1934,3570-10/6/2010
36,12,12,3,0,1399,3570-14/9/2010
51,18,30,8,3,1330,3570-24/11/2010
46,5,11,2,0,846,3570-3/4/2011
77,12,22,8,1,2222,3570-20/5/2011
46,24,45,19,3,1824,3570-25/5/2011
120,29,80,15,17,2205,3570-13/9/2011
74,6,36,4,9,1165,3570-4/1/2012
28,3,9,4,0,1445,3570-22/2/2012
33,28,26,11,7,1209,3570-13/3/2012
134,34,59,34,21,2374,3570-30/4/2012
79,9,34,9,15,2040,3570-22/5/2012
60,42,54,22,12,1497,3570-15/6/2012
99,16,64,12,7,2152,3570-21/9/2012
30,11,25,2,5,1405,3570-1/12/2012
27,11,16,8,4,1374,3570-27/2/2013
36,20,33,9,0,1069,3570-13/3/2013
67,17,34,2,3,1753,3570-3/6/2013
38,8,12,12,1,1373,3570-18/9/2013
67,18,45,22,1,1811,3570-29/11/2013
46,10,31,5,0,1370,3570-25/2/2014
